10001,Avalon,Avalon
10002,Bonavista—Gander—Grand Falls—Windsor,Bonavista—Gander—Grand Falls—Windsor
10003,Humber—St. Barbe—Baie Verte,Humber—St. Barbe—Baie Verte
10004,Labrador,Labrador
10005,Random—Burin—St. George's,Random—Burin—St. George's
10006,St. John's East,St. John's-Est
10007,St. John's South—Mount Pearl,St. John's-Sud—Mount Pearl
11001,Cardigan,Cardigan
11002,Charlottetown,Charlottetown
11003,Egmont,Egmont
11004,Malpeque,Malpeque
12001,Cape Breton—Canso,Cape Breton—Canso
12002,Central Nova,Nova-Centre
12003,Dartmouth—Cole Harbour,Dartmouth—Cole Harbour
12004,Halifax,Halifax
12005,Halifax West,Halifax-Ouest
12006,Kings—Hants,Kings—Hants
12007,Cumberland—Colchester—Musquodoboit Valley,Cumberland—Colchester—Musquodoboit Valley
12008,Sackville—Eastern Shore,Sackville—Eastern Shore
12009,South Shore—St. Margaret's,South Shore—St. Margaret's
12010,Sydney—Victoria,Sydney—Victoria
12011,West Nova,Nova-Ouest
13001,Acadie—Bathurst,Acadie—Bathurst
13002,Beauséjour,Beauséjour
13003,Fredericton,Fredericton
13004,Fundy Royal,Fundy Royal
13005,Madawaska—Restigouche,Madawaska—Restigouche
13006,Miramichi,Miramichi
13007,Moncton—Riverview—Dieppe,Moncton—Riverview—Dieppe
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest
13009,Saint John,Saint John
13010,Tobique—Mactaquac,Tobique—Mactaquac
24001,Abitibi—Témiscamingue,Abitibi—Témiscamingue
24002,Ahuntsic,Ahuntsic
24003,Alfred-Pellan,Alfred-Pellan
24004,Argenteuil—Papineau—Mirabel,Argenteuil—Papineau—Mirabel
24005,Beauce,Beauce
24006,Beauharnois—Salaberry,Beauharnois—Salaberry
24007,Beauport—Limoilou,Beauport—Limoilou
24008,Berthier—Maskinongé,Berthier—Maskinongé
24009,Bourassa,Bourassa
24010,Brome—Missisquoi,Brome—Missisquoi
24011,Brossard—La Prairie,Brossard—La Prairie
24012,Chambly—Borduas,Chambly—Borduas
24013,Charlesbourg—Haute-Saint-Charles,Charlesbourg—Haute-Saint-Charles
24014,Montmorency—Charlevoix—Haute-Côte-Nord,Montmorency—Charlevoix—Haute-Côte-Nord
24015,Châteauguay—Saint-Constant,Châteauguay—Saint-Constant
24016,Chicoutimi—Le Fjord,Chicoutimi—Le Fjord
24017,Compton—Stanstead,Compton—Stanstead
24018,Drummond,Drummond
24019,Gaspésie—Îles-de-la-Madeleine,Gaspésie—Îles-de-la-Madeleine
24020,Gatineau,Gatineau
24021,Hochelaga,Hochelaga
24022,Honoré-Mercier,Honoré-Mercier
24023,Hull—Aylmer,Hull—Aylmer
24024,Jeanne-Le Ber,Jeanne-Le Ber
24025,Joliette,Joliette
24026,Jonquière—Alma,Jonquière—Alma
24027,Lac-Saint-Louis,Lac-Saint-Louis
24028,La Pointe-de-l'Île,La Pointe-de-l'Île
24029,LaSalle—Émard,LaSalle—Émard
24030,Laurentides—Labelle,Laurentides—Labelle
24031,Laurier—Sainte-Marie,Laurier—Sainte-Marie
24032,Laval,Laval
24033,Laval—Les Îles,Laval—Les Îles
24034,Lévis—Bellechasse,Lévis—Bellechasse
24035,Longueuil—Pierre-Boucher,Longueuil—Pierre-Boucher
24036,Lotbinière—Chutes-de-la-Chaudière,Lotbinière—Chutes-de-la-Chaudière
24037,Louis-Hébert,Louis-Hébert
24038,Louis-Saint-Laurent,Louis-Saint-Laurent
24039,Manicouagan,Manicouagan
24040,Marc-Aurèle-Fortin,Marc-Aurèle-Fortin
24041,Haute-Gaspésie—La Mitis—Matane—Matapédia,Haute-Gaspésie—La Mitis—Matane—Matapédia
24042,Mégantic—L'Érable,Mégantic—L'Érable
24043,Montcalm,Montcalm
24044,Mount Royal,Mont-Royal
24045,Notre-Dame-de-Grâce—Lachine,Notre-Dame-de-Grâce—Lachine
24046,Abitibi—Baie-James—Nunavik—Eeyou,Abitibi—Baie-James—Nunavik—Eeyou
24047,Outremont,Outremont
24048,Papineau,Papineau
24049,Pierrefonds—Dollard,Pierrefonds—Dollard
24050,Pontiac,Pontiac
24051,Portneuf—Jacques-Cartier,Portneuf—Jacques-Cartier
24052,Québec,Québec
24053,Repentigny,Repentigny
24054,Bas-Richelieu—Nicolet—Bécancour,Bas-Richelieu—Nicolet—Bécancour
24055,Richmond—Arthabaska,Richmond—Arthabaska
24056,Rimouski-Neigette—Témiscouata—Les Basques,Rimouski-Neigette—Témiscouata—Les Basques
24057,Rivière-des-Mille-Îles,Rivière-des-Mille-Îles
24058,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup
24059,Rivière-du-Nord,Rivière-du-Nord
24060,Roberval—Lac-Saint-Jean,Roberval—Lac-Saint-Jean
24061,Rosemont—La Petite-Patrie,Rosemont—La Petite-Patrie
24062,Saint-Bruno—Saint-Hubert,Saint-Bruno—Saint-Hubert
24063,Saint-Hyacinthe—Bagot,Saint-Hyacinthe—Bagot
24064,Saint-Jean,Saint-Jean
24065,Saint-Lambert,Saint-Lambert
24066,Saint-Laurent—Cartierville,Saint-Laurent—Cartierville
24067,Saint-Léonard—Saint-Michel,Saint-Léonard—Saint-Michel
24068,Saint-Maurice—Champlain,Saint-Maurice—Champlain
24069,Shefford,Shefford
24070,Sherbrooke,Sherbrooke
24071,Terrebonne—Blainville,Terrebonne—Blainville
24072,Trois-Rivières,Trois-Rivières
24073,Vaudreuil-Soulanges,Vaudreuil-Soulanges
24074,Verchères—Les Patriotes,Verchères—Les Patriotes
24075,Westmount—Ville-Marie,Westmount—Ville-Marie
35001,Ajax—Pickering,Ajax—Pickering
35002,Algoma—Manitoulin—Kapuskasing,Algoma—Manitoulin—Kapuskasing
35003,Ancaster—Dundas—Flamborough—Westdale,Ancaster—Dundas—Flamborough—Westdale
35004,Barrie,Barrie
35005,Beaches—East York,Beaches—East York
35006,Bramalea—Gore—Malton,Bramalea—Gore—Malton
35007,Brampton—Springdale,Brampton—Springdale
35008,Brampton West,Brampton-Ouest
35009,Brant,Brant
35010,Burlington,Burlington
35011,Cambridge,Cambridge
35012,Carleton—Mississippi Mills,Carleton—Mississippi Mills
35013,Chatham-Kent—Essex,Chatham-Kent—Essex
35014,Durham,Durham
35015,Davenport,Davenport
35016,Don Valley East,Don Valley-Est
35017,Don Valley West,Don Valley-Ouest
35018,Dufferin—Caledon,Dufferin—Caledon
35019,Eglinton—Lawrence,Eglinton—Lawrence
35020,Elgin—Middlesex—London,Elgin—Middlesex—London
35021,Essex,Essex
35022,Etobicoke Centre,Etobicoke-Centre
35023,Etobicoke—Lakeshore,Etobicoke—Lakeshore
35024,Etobicoke North,Etobicoke-Nord
35025,Glengarry—Prescott—Russell,Glengarry—Prescott—Russell
35026,Bruce—Grey—Owen Sound,Bruce—Grey—Owen Sound
35027,Guelph,Guelph
35028,Haldimand—Norfolk,Haldimand—Norfolk
35029,Haliburton—Kawartha Lakes—Brock,Haliburton—Kawartha Lakes—Brock
35030,Halton,Halton
35031,Hamilton Centre,Hamilton-Centre
35032,Hamilton East—Stoney Creek,Hamilton-Est—Stoney Creek
35033,Hamilton Mountain,Hamilton Mountain
35034,Huron—Bruce,Huron—Bruce
35035,Kenora,Kenora
35036,Kingston and the Islands,Kingston et les Îles
35037,Kitchener Centre,Kitchener-Centre
35038,Kitchener—Conestoga,Kitchener—Conestoga
35039,Kitchener—Waterloo,Kitchener—Waterloo
35040,Lanark—Frontenac—Lennox and Addington,Lanark—Frontenac—Lennox and Addington
35041,Leeds—Grenville,Leeds—Grenville
35042,London—Fanshawe,London—Fanshawe
35043,London North Centre,London-Centre-Nord
35044,London West,London-Ouest
35045,Markham—Unionville,Markham—Unionville
35046,Lambton—Kent—Middlesex,Lambton—Kent—Middlesex
35047,Mississauga—Brampton South,Mississauga—Brampton-Sud
35048,Mississauga East—Cooksville,Mississauga-Est—Cooksville
35049,Mississauga—Erindale,Mississauga—Erindale
35050,Mississauga South,Mississauga-Sud
35051,Mississauga—Streetsville,Mississauga—Streetsville
35052,Nepean—Carleton,Nepean—Carleton
35053,Newmarket—Aurora,Newmarket—Aurora
35054,Niagara Falls,Niagara Falls
35055,Niagara West—Glanbrook,Niagara-Ouest—Glanbrook
35056,Nickel Belt,Nickel Belt
35057,Nipissing—Timiskaming,Nipissing—Timiskaming
35058,Northumberland—Quinte West,Northumberland—Quinte West
35059,Oak Ridges—Markham,Oak Ridges—Markham
35060,Oakville,Oakville
35061,Oshawa,Oshawa
35062,Ottawa Centre,Ottawa-Centre
35063,Ottawa—Orléans,Ottawa—Orléans
35064,Ottawa South,Ottawa-Sud
35065,Ottawa—Vanier,Ottawa—Vanier
35066,Ottawa West—Nepean,Ottawa-Ouest—Nepean
35067,Oxford,Oxford
35068,Parkdale—High Park,Parkdale—High Park
35069,Parry Sound—Muskoka,Parry Sound—Muskoka
35070,Perth—Wellington,Perth—Wellington
35071,Peterborough,Peterborough
35072,Pickering—Scarborough East,Pickering—Scarborough-Est
35073,Prince Edward—Hastings,Prince Edward—Hastings
35074,Renfrew—Nipissing—Pembroke,Renfrew—Nipissing—Pembroke
35075,Richmond Hill,Richmond Hill
35076,St. Catharines,St. Catharines
35077,St. Paul's,St. Paul's
35078,Sarnia—Lambton,Sarnia—Lambton
35079,Sault Ste. Marie,Sault Ste. Marie
35080,Scarborough—Agincourt,Scarborough—Agincourt
35081,Scarborough Centre,Scarborough-Centre
35082,Scarborough—Guildwood,Scarborough—Guildwood
35083,Scarborough—Rouge River,Scarborough—Rouge River
35084,Scarborough Southwest,Scarborough-Sud-Ouest
35085,Simcoe—Grey,Simcoe—Grey
35086,Simcoe North,Simcoe-Nord
35087,Stormont—Dundas—South Glengarry,Stormont—Dundas—South Glengarry
35088,Sudbury,Sudbury
35089,Thornhill,Thornhill
35090,Thunder Bay—Rainy River,Thunder Bay—Rainy River
35091,Thunder Bay—Superior North,Thunder Bay—Superior-Nord
35092,Timmins—James Bay,Timmins—Baie James
35093,Toronto Centre,Toronto-Centre
35094,Toronto—Danforth,Toronto—Danforth
35095,Trinity—Spadina,Trinity—Spadina
35096,Vaughan,Vaughan
35097,Welland,Welland
35098,Wellington—Halton Hills,Wellington—Halton Hills
35099,Whitby—Oshawa,Whitby—Oshawa
35100,Willowdale,Willowdale
35101,Windsor—Tecumseh,Windsor—Tecumseh
35102,Windsor West,Windsor-Ouest
35103,York Centre,York-Centre
35104,York—Simcoe,York—Simcoe
35105,York South—Weston,York-Sud—Weston
35106,York West,York-Ouest
46001,Brandon—Souris,Brandon—Souris
46002,Charleswood—St. James—Assiniboia,Charleswood—St. James—Assiniboia
46003,Churchill,Churchill
46004,Dauphin—Swan River—Marquette,Dauphin—Swan River—Marquette
46005,Elmwood—Transcona,Elmwood—Transcona
46006,Kildonan—St. Paul,Kildonan—St. Paul
46007,Portage—Lisgar,Portage—Lisgar
46008,Provencher,Provencher
46009,Saint Boniface,Saint-Boniface
46010,Selkirk—Interlake,Selkirk—Interlake
46011,Winnipeg Centre,Winnipeg-Centre
46012,Winnipeg North,Winnipeg-Nord
46013,Winnipeg South,Winnipeg-Sud
46014,Winnipeg South Centre,Winnipeg-Centre-Sud
47001,Battlefords—Lloydminster,Battlefords—Lloydminster
47002,Blackstrap,Blackstrap
47003,Desnethé—Missinippi—Churchill River,Desnethé—Missinippi—Rivière Churchill
47004,Cypress Hills—Grasslands,Cypress Hills—Grasslands
47005,Palliser,Palliser
47006,Prince Albert,Prince Albert
47007,Regina—Lumsden—Lake Centre,Regina—Lumsden—Lake Centre
47008,Regina—Qu'Appelle,Regina—Qu'Appelle
47009,Saskatoon—Humboldt,Saskatoon—Humboldt
47010,Saskatoon—Rosetown—Biggar,Saskatoon—Rosetown—Biggar
47011,Saskatoon—Wanuskewin,Saskatoon—Wanuskewin
47012,Souris—Moose Mountain,Souris—Moose Mountain
47013,Wascana,Wascana
47014,Yorkton—Melville,Yorkton—Melville
48001,Fort McMurray—Athabasca,Fort McMurray—Athabasca
48002,Calgary East,Calgary-Est
48003,Calgary Centre-North,Calgary-Centre-Nord
48004,Calgary Northeast,Calgary-Nord-Est
48005,Calgary—Nose Hill,Calgary—Nose Hill
48006,Calgary Centre,Calgary-Centre
48007,Calgary Southeast,Calgary-Sud-Est
48008,Calgary Southwest,Calgary-Sud-Ouest
48009,Calgary West,Calgary-Ouest
48010,Crowfoot,Crowfoot
48011,Edmonton—Mill Woods—Beaumont,Edmonton—Mill Woods—Beaumont
48012,Edmonton Centre,Edmonton-Centre
48013,Edmonton East,Edmonton-Est
48014,Edmonton—Leduc,Edmonton—Leduc
48015,Edmonton—St. Albert,Edmonton—St. Albert
48016,Edmonton—Sherwood Park,Edmonton—Sherwood Park
48017,Edmonton—Spruce Grove,Edmonton—Spruce Grove
48018,Edmonton—Strathcona,Edmonton—Strathcona
48019,Lethbridge,Lethbridge
48020,Macleod,Macleod
48021,Medicine Hat,Medicine Hat
48022,Peace River,Peace River
48023,Red Deer,Red Deer
48024,Vegreville—Wainwright,Vegreville—Wainwright
48025,Westlock—St. Paul,Westlock—St. Paul
48026,Wetaskiwin,Wetaskiwin
48027,Wild Rose,Wild Rose
48028,Yellowhead,Yellowhead
59001,Abbotsford,Abbotsford
59002,Burnaby—Douglas,Burnaby—Douglas
59003,Burnaby—New Westminster,Burnaby—New Westminster
59004,Cariboo—Prince George,Cariboo—Prince George
59005,Chilliwack—Fraser Canyon,Chilliwack—Fraser Canyon
59006,Delta—Richmond East,Delta—Richmond-Est
59007,Pitt Meadows—Maple Ridge—Mission,Pitt Meadows—Maple Ridge—Mission
59008,Esquimalt—Juan de Fuca,Esquimalt—Juan de Fuca
59009,Fleetwood—Port Kells,Fleetwood—Port Kells
59010,Kamloops—Thompson—Cariboo,Kamloops—Thompson—Cariboo
59011,Kelowna—Lake Country,Kelowna—Lake Country
59012,Kootenay—Columbia,Kootenay—Columbia
59013,Langley,Langley
59014,Nanaimo—Alberni,Nanaimo—Alberni
59015,Nanaimo—Cowichan,Nanaimo—Cowichan
59016,Newton—North Delta,Newton—Delta-Nord
59017,New Westminster—Coquitlam,New Westminster—Coquitlam
